source_id,verified_pdf,entry_sheet,bibtex_key,title,year,domain_theme,task,modality,method_or_contribution,dataset_or_evaluation_context,reported_metrics_or_findings,limitations,tbs_relevance,supporting_pdf_pages,pdf_extraction_note
001,1_You Only Look Once (YOLOv1).pdf,001 - 2016 - You Only Look Once (YOLOv1) - Fondasi RGB.md,redmon2016yolo,"You Only Look Once: Unified, Real-Time Object Detection",2016,Fondasi RGB,Computer-vision method or application,RGB,"Gagasan inti YOLO adalah membuang tahap pengusulan wilayah sama sekali. Deteksi dipandang sebagai regresi: satu jaringan menerima seluruh citra dan, dalam satu evaluasi, mengeluarkan semua kotak objek beserta kelasnya secara serentak. Karena jaringan memproses citra penuh sekaligus, informasi konteks global tersedia pada saat prediksi dibuat — berbeda dengan metode wilayah yang hanya melihat potongan citra. Mekanismenya sederhana: citra dibagi menjadi *gr...","Evaluasi utama dilakukan pada PASCAL VOC 2007 dan 2012, tolok ukur standar deteksi objek saat itu. Metrik yang dipakai adalah mAP (*mean Average Precision*): rata-rata presisi di seluruh kelas dan ambang — semakin tinggi semakin baik, maksimal 100%. Hasil kunci pada VOC 2007: - YOLO (model penuh): 63,4% mAP pada 45 FPS. - Fast YOLO: 52,7% mAP pada 155 FPS. - Pembanding pada saat yang sama: Fast R-CNN 70,0% mAP pada ±0,5 FPS; Faster R-CNN 73,2% mAP pada 7...","Kutip dengan kunci `redmon2016yolo`. Ringkasan yang aman dikutip: ""YOLO merumuskan deteksi objek sebagai regresi tunggal dari citra penuh ke kotak pembatas dan probabilitas kelas, mencapai 63,4% mAP pada PASCAL VOC 2007 dengan kecepatan 45 FPS — detektor *real-time* terpadu pertama."" Angka 63,4% / 45 FPS / 52,7% / 155 FPS berasal dari naskah; rincian analisis galat (13,6% vs 4,75%) dan hasil kombinasi dengan Fast R-CNN (±75% mAP) sebaiknya diverifikasi ul...","Kelebihan: (1) sangat cepat karena hanya satu evaluasi jaringan; (2) satu model utuh yang dilatih *end-to-end*, tanpa komponen eksternal; (3) *false positive* latar rendah berkat konteks global; (4) generalisasi lintas domain lebih baik dari pesaingnya. Keterbatasan: (1) setiap sel hanya memprediksi satu kelas dan dua kotak, sehingga objek kecil yang berkelompok — misalnya sekawanan burung dalam satu sel — sering terlewat; (2) total deteksi dibatasi desai...",Baseline or methodological evidence; requires TBS-specific validation.,"1, 2",10 PDF pages; automatic locator scanned first 10
002,2_YOLO9000 (YOLOv2).pdf,002 - 2017 - YOLO9000 (YOLOv2) - Fondasi RGB.md,redmon2017yolo9000,"YOLO9000: Better, Faster, Stronger",2017,Fondasi RGB,2D object detection / real-time detection,RGB,"Untuk masalah akurasi, gagasannya bukan satu perubahan besar, melainkan akumulasi perbaikan yang masing-masing diukur kontribusinya: sebagian membuat pelatihan lebih stabil, sebagian membuat prediksi lebih fleksibel, sebagian memperkuat fitur. Prinsipnya adalah mempertahankan formulasi satu jaringan dari YOLOv1, tetapi menghilangkan hambatan-hambatan yang menekan recall dan presisi lokalisasi. Untuk masalah kosakata, gagasannya adalah **pelatihan gabungan...","Deteksi diuji pada PASCAL VOC 2007 dan COCO; mekanisme WordTree diuji pada tugas deteksi ImageNet. Hasil utama: - YOLOv2 416×416: 76,8% mAP pada 67 FPS (VOC 2007). - YOLOv2 544×544: 78,6% mAP pada 40 FPS — melampaui Faster R-CNN (73,2% pada 7 FPS) baik dalam akurasi maupun kecepatan. - Fleksibilitas resolusi: pada 288×288 model tetap berjalan ±90 FPS dengan mAP ±69%, sehingga satu model melayani spektrum kecepatan-akurasi. - YOLO9000 pada tugas deteksi Im...","Kutip dengan kunci `redmon2017yolo9000`. Ringkasan yang aman dikutip: ""YOLOv2 meningkatkan akurasi YOLO melalui *anchor box* berbasis klaster dimensi, prediksi lokasi langsung, dan pelatihan multi-skala (76,8–78,6% mAP VOC 2007 pada 40–67 FPS); mekanisme WordTree memperluas deteksi ke 9.418 kategori melalui pelatihan gabungan deteksi-klasifikasi."" Seluruh angka di atas berasal dari naskah; rincian ablation per komponen (mis. +2%, +4%, +5%) sebaiknya dikut...","Kelebihan: (1) akurasi dan recall naik tajam tanpa mengorbankan kecepatan; (2) satu model fleksibel terhadap resolusi masukan; (3) Darknet-19 ringan dan menjadi fondasi Darknet-53 pada generasi berikutnya; (4) WordTree membuka pelatihan lintas-dataset berskala ribuan kelas. Keterbatasan: (1) objek kecil membaik tetapi belum tuntas — prediksi tetap pada satu skala 13×13; (2) deteksi 9.000 kelas jauh lebih lemah daripada deteksi kelas berlabel penuh, sehing...",Baseline or methodological evidence; requires TBS-specific validation.,"1, 2",9 PDF pages; automatic locator scanned first 9
003,3_YOLOv3.pdf,003 - 2018 - YOLOv3 - Fondasi RGB.md,redmon2018yolov3,YOLOv3: An Incremental Improvement,2018,Fondasi RGB,2D object detection / real-time detection,RGB,"Gagasan YOLOv3 dapat diringkas menjadi: pertahankan mesin prediksi YOLOv2 yang sudah stabil, lalu perkuat dua komponen penentunya — fitur dan skala. Fitur diperkuat dengan backbone residual yang dalam; skala diperbanyak dengan menempelkan kepala prediksi pada tiga tingkat kedalaman jaringan, mengikuti pola piramida fitur (FPN, bab 018). Setiap skala diberi tanggung jawab terhadap ukuran objek yang berbeda melalui pembagian *anchor*, sehingga objek kecil d...","Evaluasi dilakukan pada COCO dengan metrik AP rata-rata pada ambang IOU 0,5:0,95 (metrik ketat), AP50 (ambang longgar), serta AP per ukuran objek (kecil/sedang/besar). Hasil utama: - YOLOv3-608: 33,0% AP, 57,9% AP50, pada 51 ms per citra (Titan X). - YOLOv3-320: 28,2% AP pada 22 ms — setara akurasi SSD-321 tetapi tiga kali lebih cepat. - Pembanding: RetinaNet-101-800 mencapai 37,8% AP dan 61,1% AP50 pada 198 ms. Interpretasinya dua sisi. Pada ambang longg...","Kutip dengan kunci `redmon2018yolov3`; perhatikan bahwa terbitannya berupa laporan teknis arXiv, bukan prosiding konferensi. Ringkasan yang aman dikutip: ""YOLOv3 memadukan backbone residual Darknet-53 dengan prediksi tiga skala bergaya piramida fitur dan klasifikasi logistik multi-label, mencapai 33,0% AP (57,9% AP50) pada COCO dengan 51 ms per citra."" Angka hasil di atas dari tabel naskah; perbandingan kecepatan antarperangkat keras sebaiknya dikutip ber...","Kelebihan: (1) keseimbangan kecepatan-akurasi terbaik pada masanya untuk kelas detektor *real-time*; (2) deteksi objek kecil membaik signifikan lewat prediksi tiga skala; (3) backbone residual menjadi fondasi yang kuat untuk modifikasi lanjutan; (4) desainnya sederhana, terdokumentasi terbuka, dan mudah dipotong-tempel — alasan utamanya menjadi baseline de-facto pada banyak bab aplikasi dalam tinjauan ini. Keterbatasan: (1) AP pada ambang IOU ketat kalah...",Baseline or methodological evidence; requires TBS-specific validation.,"1, 2, 3",6 PDF pages; automatic locator scanned first 6
004,4_YOLOv4.pdf,004 - 2020 - YOLOv4 - Fondasi RGB.md,bochkovskiy2020yolov4,YOLOv4: Optimal Speed and Accuracy of Object Detection,2020,Fondasi RGB,2D object detection / real-time detection,RGB,"Gagasan pengorganisasian makalah ini adalah pembagian semua teknik peningkatan ke dalam dua kantong: - ***Bag of Freebies* (BoF)** — teknik yang hanya mengubah strategi pelatihan tanpa menambah biaya inferensi sedikit pun: metode augmentasi data, fungsi loss yang lebih baik, regularisasi, penjadwalan laju pembelajaran. Karena ""gratis"" saat model dipakai, teknik ini murni menguntungkan bila terbukti menaikkan akurasi. - ***Bag of Specials* (BoS)** — modul...","Pengujian dilakukan pada COCO dengan analisis ablation menyeluruh — inilah nilai ilmiah utama makalah ini: pengaruh tiap fitur, tiap kombinasi BoF/BoS, dan tiap pilihan backbone diukur terpisah. Hasil akhir pada COCO test-dev: - YOLOv4: 43,5% AP dan 65,7% AP50, pada kecepatan ±65 FPS (Tesla V100). - Peningkatan terhadap YOLOv3 (33,0% AP, bab 003): sekitar 10 poin AP tanpa kehilangan status *real-time*. - Perbandingan sezaman: mengungguli kombinasi kecepat...","Kutip dengan kunci `bochkovskiy2020yolov4`. Ringkasan yang aman dikutip: ""YOLOv4 menyeleksi dan mengombinasikan teknik pelatihan (Bag of Freebies: Mosaic, CIoU loss, SAT) dan modul arsitektur (Bag of Specials: CSP, SPP, PAN, Mish) menjadi detektor 43,5% AP pada COCO dengan ±65 FPS yang dapat dilatih pada satu GPU konsumen."" Angka 43,5% / 65,7% AP50 / ±65 FPS dari abstrak naskah; rincian ablation per komponen sebaiknya dikutip langsung dari tabel-tabel nas...","Kelebihan: (1) titik kecepatan-akurasi terbaik saat rilis; (2) resep lengkap dan terdokumentasi, direproduksi luas; (3) hemat perangkat — pelatihan satu GPU; (4) nilai metodologis: peta kontribusi puluhan teknik dalam satu kerangka uji. Keterbatasan: (1) jumlah teknik dan hiperparameter yang ditumpuk sangat banyak, sehingga menyetel ulang untuk dataset baru tidak sepele; (2) tetap berbasis *anchor*; (3) peningkatannya bersifat rekayasa inkremental, bukan...",Baseline or methodological evidence; requires TBS-specific validation.,"1, 3",17 PDF pages; automatic locator scanned first 10
005,5_YOLOX.pdf,005 - 2021 - YOLOX - Fondasi RGB.md,ge2021yolox,YOLOX: Exceeding YOLO Series in 2021,2021,Fondasi RGB,2D object detection / real-time detection,RGB,"Gagasan pemersatu ketiga perubahan YOLOX adalah menyederhanakan apa yang dapat disederhanakan dan memindahkan kompleksitas ke tempat yang dapat dihitung otomatis. *Anchor* dihapus sehingga tidak ada lagi hiperparameter bentuk kotak yang harus disetel manusia. Head dipisah karena klasifikasi dan regresi adalah dua tugas berbeda yang selama ini dipaksa berbagi fitur yang sama. Dan penetapan label — keputusan ""kandidat mana yang menjadi contoh positif untuk...","Pengujian utama pada COCO lintas skala model, dari Nano hingga X, dengan ablation atas tiap komponen. Hasil utama: - YOLOX-DarkNet53: 47,3% AP — menaikkan backbone YOLOv3 melampaui praktik terbaik sebelumnya sebesar 3,0 poin. - YOLOX-L: 50,0% AP pada 68,9 FPS (Tesla V100), melampaui YOLOv5-L sebesar 1,8 poin pada jumlah parameter setara. - YOLOX-Nano: 25,3% AP dengan 0,91 juta parameter dan 1,08 GFLOPs (melampaui NanoDet 1,8 poin); YOLOX-Tiny 32,8% AP — m...","Kutip dengan kunci `ge2021yolox`. Ringkasan yang aman dikutip: ""YOLOX mengonversi YOLO menjadi detektor *anchor-free* dengan *decoupled head* dan penetapan label dinamis SimOTA, mencapai 47,3% AP (backbone YOLOv3) hingga 50,0% AP pada 68,9 FPS (YOLOX-L) pada COCO."" Seluruh angka pada bab ini berasal dari abstrak dan tabel naskah; rincian ablation per komponen sebaiknya dikutip langsung dari tabel naskah.","Kelebihan: (1) akurasi naik konsisten pada semua skala model, dari perangkat tepi hingga server; (2) desain lebih sederhana — tanpa *anchor*, tanpa hiperparameter bentuk kotak; (3) SimOTA memberi gain tanpa menambah biaya inferensi; (4) dukungan *deployment* luas (ONNX, TensorRT, NCNN, OpenVINO). Keterbatasan: (1) SimOTA menambah kompleksitas prosedur pelatihan dibanding penetapan statis; (2) resep augmentasi kuat menuntut penjadwalan cermat (harus dimati...",Baseline or methodological evidence; requires TBS-specific validation.,"1, 2, 5",7 PDF pages; automatic locator scanned first 7
006,6_YOLOv6.pdf,006 - 2022 - YOLOv6 - Fondasi RGB.md,li2022yolov6,YOLOv6: A Single-Stage Object Detection Framework for Industrial Applications,2022,Fondasi RGB,2D object detection / real-time detection,RGB,"Gagasan inti YOLOv6 adalah merancang ulang kerangka YOLO dengan satu kriteria: setiap komponen dipilih berdasarkan bukti ablasi, dan arsitektur boleh berbeda antar-ukuran. Model kecil memakai *backbone* jalur tunggal berbasis reparameterisasi karena paling cepat pada perangkat nyata; model besar memakai blok multi-cabang yang lebih hemat parameter. Semua teknik yang menaikkan akurasi tanpa menambah biaya inferensi — penetapan label TAL, fungsi loss yang t...","Model dilatih pada COCO 2017 (sekitar 118 ribu citra, 80 kelas) dan dievaluasi pada 5.000 citra validasi. Metrik utamanya AP (*Average Precision* COCO: rata-rata presisi pada ambang IoU 0,50–0,95). Pelatihan memakai SGD bermomentum dengan peluruhan kosinus, *exponential moving average* (rata-rata bergerak bobot), dan augmentasi Mosaic-Mixup, selama 300 epoch tanpa pra-pelatihan pada 8 GPU A100. Kecepatan diukur pada satu Tesla T4 dengan TensorRT presisi F...","Kutip dengan kunci `li2022yolov6`. Ringkasan yang aman dikutip: ""YOLOv6 (Li dkk., 2022) adalah detektor objek satu tahap berorientasi industri dari Meituan dengan backbone reparameterisasi EfficientRep, neck Rep-PAN, head anchor-free efisien, serta pelatihan berbasis TAL, Varifocal Loss, dan distilasi diri. YOLOv6-S mencapai 43,5% AP pada 495 FPS di Tesla T4; versi INT8-nya mencapai 43,3% AP pada 869 FPS."" Catatan verifikasi sebelum sitasi formal: (1) AP...","Kelebihan YOLOv6 adalah orientasi penerapannya yang konsisten: pengukuran pada GPU kelas produksi, rancangan berbeda per skala, jalur kuantisasi yang menjaga akurasi, dan pemilihan komponen melalui ablasi terdokumentasi. Keterbatasannya: secara konseptual, kontribusinya adalah integrasi rekayasa atas teknik yang sudah ada, bukan paradigma baru. Dari sisi rekayasa, angka kecepatan terikat pada TensorRT dan Tesla T4; model terkuantisasi diuji dengan TensorR...",Baseline or methodological evidence; requires TBS-specific validation.,"1, 2",17 PDF pages; automatic locator scanned first 10
007,7_YOLOv7.pdf,007 - 2023 - YOLOv7 - Fondasi RGB.md,wang2023yolov7,YOLOv7: Trainable Bag-of-Freebies Sets New State-of-the-Art for Real-Time Object Detectors,2023 (pracetak arXiv Juli 2022),Fondasi RGB,2D object detection / real-time detection,RGB,"Pisahkan tegas biaya pelatihan dari biaya inferensi. Selama pelatihan, jaringan boleh dibebani struktur tambahan — cabang konvolusi ekstra, kepala keluaran bantu, mekanisme penetapan label berlapis — asalkan semuanya dapat dilebur ke lapis lain atau dibuang saat inferensi. Jalur datanya sendiri tidak berubah dari keluarga YOLO: citra mengalir melalui *backbone* (bagian awal jaringan yang mengekstraksi fitur) dan leher (*neck*, modul penggabung fitur multi...","Seluruh eksperimen memakai MS COCO: *train2017* untuk pelatihan, *val2017* untuk verifikasi, dan *test-dev* (split uji resmi) untuk perbandingan akhir. AP dilaporkan menurut protokol COCO: rata-rata presisi pada ambang IoU 0,50–0,95. Tiga model dasar dirancang untuk tiga kelas perangkat: YOLOv7-tiny untuk GPU tepi (fungsi aktivasi *leaky ReLU*), YOLOv7 untuk GPU umum (aktivasi *SiLU*), dan YOLOv7-W6 untuk GPU *cloud*; varian lain diperoleh lewat penskalaa...","Kutip dengan kunci `wang2023yolov7`. Ringkasan yang aman dikutip: ""YOLOv7 memperkenalkan *trainable bag-of-freebies* — paket teknik pelatihan yang menaikkan akurasi tanpa menambah biaya inferensi — melalui blok E-ELAN, reparameterisasi terencana, dan penetapan label *coarse-to-fine*; varian E6E-nya mencapai 56,8% AP COCO pada 36 FPS (GPU V100), akurasi tertinggi di antara detektor *real-time* minimal 30 FPS saat terbit, dan seluruh model dilatih dari awal...","Kelebihan makalah ini adalah efisiensi bukti: akurasi naik nyaris tanpa biaya inferensi karena seluruh struktur tambahan dilebur atau dibuang, cakupan variannya luas (5–160 FPS), dan pelatihan serta kode resminya terbuka untuk direproduksi dari awal tanpa data eksternal. Keterbatasan berikut merupakan analisis penulis bab, bukan pernyataan penulis makalah. Dari sisi rekayasa, resep pelatihannya lebih kompleks daripada pendahulunya: dua kepala, dua set lab...",Baseline or methodological evidence; requires TBS-specific validation.,"1, 4",15 PDF pages; automatic locator scanned first 10
008,8_YOLOv9.pdf,008 - 2024 - YOLOv9 - Fondasi RGB.md,wang2024yolov9,YOLOv9: Learning What You Want to Learn Using Programmable Gradient Information,2024,Fondasi RGB,2D object detection / real-time detection,RGB,"Gagasan inti makalah ini terdiri atas dua bagian yang saling menguatkan. Pertama, PGI: alih-alih memaksa jaringan utama bersifat reversibel (yang mahal), tambahkan cabang bantu yang reversibel semata-mata untuk menghasilkan gradien yang andal selama pelatihan. Cabang ini ""memprogram"" informasi gradien yang diterima jaringan utama, lalu dibuang saat inferensi sehingga biaya pemakaian model tidak berubah. Kedua, GELAN: generalisasi blok ELAN agar dapat mema...","Seluruh eksperimen memakai MS COCO 2017 dengan pelatihan dari nol (*train-from-scratch*, tanpa bobot pralatih ImageNet) selama 500 *epoch* (satu *epoch* berarti satu kali putaran pelatihan atas seluruh data latih). Laju pembelajaran dinaikkan secara linear pada tiga *epoch* pertama (*warm-up*) dan augmentasi *mosaic* (menggabungkan empat citra menjadi satu citra latih) dimatikan pada 15 *epoch* terakhir. Metrik utama adalah AP (*Average Precision*) COCO:...","Kutip dengan kunci `wang2024yolov9`. Ringkasan yang aman dikutip: ""YOLOv9 mengatasi kehilangan informasi pada jaringan dalam melalui Programmable Gradient Information (PGI) — cabang reversibel bantu yang memasok gradien andal selama pelatihan tanpa biaya inferensi — dan arsitektur ringan GELAN hasil generalisasi ELAN. Pada MS COCO, YOLOv9-E mencapai 55,6% AP, melampaui YOLOv8-X sebesar 1,7 poin dengan parameter 16% lebih sedikit."" Seluruh angka di bab ini...","Kelebihan utama adalah efisiensi parameter dan komputasi yang terbaik pada kelasnya saat dirilis, dengan landasan analisis teoretis (information bottleneck dan fungsi reversibel) yang menjelaskan mengapa metodenya bekerja. PGI juga bebas biaya inferensi dan berlaku umum: dapat dipasang pada berbagai ukuran jaringan, termasuk model ringan yang selama ini tidak diuntungkan oleh *deep supervision*. Keterbatasannya: (1) manfaat PGI hanya terasa saat pelatihan...",Baseline or methodological evidence; requires TBS-specific validation.,"1, 2",18 PDF pages; automatic locator scanned first 10
009,9_YOLOv10.pdf,009 - 2024 - YOLOv10 - Fondasi RGB.md,wang2024yolov10,YOLOv10: Real-Time End-to-End Object Detection,2024,Fondasi RGB,2D object detection / real-time detection,RGB,"Gagasan pertama: NMS adalah solusi pasca-proses untuk masalah yang ditimbulkan pelatihan satu-ke-banyak; solusi yang lebih langsung adalah melatih model agar hanya menghasilkan satu prediksi per objek tanpa kehilangan supervisi kaya. Caranya: dua kepala prediksi berbagi tubuh jaringan yang sama — kepala satu-ke-banyak hanya hidup saat pelatihan, kepala satu-ke-satu dilatih dengan metrik pencocokan yang sama bentuknya sehingga pilihannya selaras dengan sam...","Seluruh model dilatih dari awal pada COCO (*Common Objects in Context*, tolok ukur 80 kelas objek; AP adalah rata-rata presisi pada ambang IoU 0,50 hingga 0,95) dengan resolusi uji 640 piksel. Latensi diukur end-to-end pada GPU NVIDIA T4 dengan TensorRT FP16 (pustaka inferensi NVIDIA, presisi 16-bit). Enam varian dihasilkan: YOLOv10-N/S/M/B/L/X. Angka utamanya: dari N ke X, AP berturut-turut 38,5 / 46,3 / 51,1 / 52,5 / 53,2 / 54,4%, latensi 1,84 / 2,49 /...","Kutip dengan kunci `wang2024yolov10`. Ringkasan yang aman dikutip: ""YOLOv10 menghilangkan NMS dari inferensi YOLO melalui pelatihan penugasan ganda yang konsisten — kepala satu-ke-banyak untuk supervisi, kepala satu-ke-satu untuk inferensi — ditambah desain ulang arsitektur berbasis efisiensi dan akurasi; pada COCO, YOLOv10-S 1,8 kali lebih cepat daripada RT-DETR-R18 pada AP setara dengan 2,8 kali lebih sedikit parameter dan komputasi."" Catatan verifikasi...","Kelebihan: (1) inferensi end-to-end tanpa NMS — latensi stabil, tidak bergantung jumlah objek, dan bebas penyetelan ambang NMS; (2) tanpa biaya inferensi tambahan karena kepala satu-ke-banyak dibuang setelah pelatihan; (3) efisiensi parameter dan komputasi terbaik di kelasnya pada semua skala; (4) komponennya terpisah dan dapat diadopsi sebagian pada arsitektur lain. Keterbatasan yang diakui penulis: pelatihan tanpa NMS masih menyisakan celah akurasi terh...",Baseline or methodological evidence; requires TBS-specific validation.,"1, 2",21 PDF pages; automatic locator scanned first 10
010,10_YOLOv11 (Overview).pdf,010 - 2024 - YOLOv11 (Overview) - Fondasi RGB.md,khanam2024yolov11,YOLOv11: An Overview of the Key Architectural Enhancements,2024,Fondasi RGB,2D object detection / real-time detection,RGB,"Gagasan inti yang dilaporkan makalah: YOLOv11 mempertahankan kerangka tiga bagian YOLOv8, tetapi mengganti blok pemroses fitur utamanya dan menambahkan satu modul atensi. Secara mekanis, masukan tetap sebuah citra dan keluaran tetap kotak pembatas beserta kelasnya dalam satu kali evaluasi jaringan; yang berubah adalah cara fitur diolah di dalamnya. Blok C3k2 menggantikan blok C2f pada *backbone*, *neck*, dan *head* dengan struktur yang lebih hemat paramet...","Pengujian yang dirangkum makalah memakai dataset COCO, tolok ukur deteksi objek dengan 80 kelas. Metriknya mAP50-95, yaitu *mean Average Precision* (rata-rata presisi pada berbagai ambang *recall*, dirata-ratakan lintas kelas) yang dihitung pada ambang IoU 0,50 hingga 0,95 dengan langkah 0,05; IoU (*Intersection over Union*) adalah rasio luas irisan terhadap luas gabungan antara kotak prediksi dan kotak kebenaran. Makalah menampilkan kurva tolok ukur YOLO...","Kutip dengan kunci `khanam2024yolov11`. Ringkasan yang aman dikutip: ""Khanam dan Hussain (2024) menyusun tinjauan arsitektural YOLOv11 dan mengidentifikasi blok C3k2, modul atensi spasial C2PSA, serta head yang disusun ulang sebagai perubahan utama terhadap YOLOv8, dengan dukungan enam tugas visi dalam satu kerangka."" Catatan verifikasi sebelum sitasi formal: (1) seluruh angka mAP, parameter, FLOPs, dan latensi pada bab ini mengacu dokumentasi resmi Ultra...","Kelebihan makalah: menyusun deskripsi arsitektur YOLOv11 yang runtut dari sumber resmi yang tersebar; mengidentifikasi tiga perubahan inti (C3k2, C2PSA, head) secara tepat; serta mendokumentasikan cakupan multi-tugas dan skala model dalam satu rujukan. Bagi pembaca, makalah ini berfungsi sebagai acuan komponen sebelum membaca kode sumber. Keterbatasan: (1) naskah bersifat tinjauan, bukan kontribusi metode; seluruh angka kinerja bersumber dari tolok ukur v...",Baseline or methodological evidence; requires TBS-specific validation.,"1, 6",9 PDF pages; automatic locator scanned first 9
