query_id,database,date_run,n_raw,n_dedup_within,n_dedup_across,n_screened,n_excl_EC1,n_excl_EC2,n_excl_EC3,n_excl_EC4,n_excl_EC5,n_excl_EC6,n_fulltext_sought,n_retrieved,n_included,notes
Q1,Scopus,2026-08-09,2001,1989,1988,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q2,Scopus,2026-08-09,2789,2723,2720,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q3,Scopus,2026-08-09,5648,5611,5606,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q4,Scopus,2026-08-09,2422,2413,2413,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q5,Scopus,2026-08-09,662,661,661,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q6,Scopus,2026-08-09,995,992,991,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q7,Scopus,2026-08-09,1205,1200,1199,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q1,OpenAlex,2026-08-09,1849,1847,1694,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q2,OpenAlex,2026-08-09,1991,1988,1793,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q3,OpenAlex,2026-08-09,6422,6414,5934,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q4,OpenAlex,2026-08-09,2757,2752,2587,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q5,OpenAlex,2026-08-09,1143,1142,1058,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q6,OpenAlex,2026-08-09,1177,1176,1137,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
Q7,OpenAlex,2026-08-09,1317,1314,1222,,,,,,,,,,,Distinct resolved master records represented by this query; per-query values are not additive because queries overlap.
ALL,Scopus+OpenAlex,2026-08-09,32378,32222,21066,,,,,,,,,,,Title triage and conservative abstract triage complete; final title-abstract disposition is retained in derived/abstract-screening-summary-2026-08-10.csv. High-confidence exclusions only; full-text review pending.
